example_id,prompt,response_a,response_b,preferred,annotator_id
ex_35,How do I set up CI/CD for a small service?,"A CI/CD routes incoming pipeline across multiple backends and keeps a health check on each one, so failed hosts are removed from rotation and users see steady latency even under uneven load.","A CI/CD is a special kind of pipeline database that stores its state on a single machine and never talks to other systems, which is why it is used in place of caching and message-passing infrastructure.",B,ann_4
ex_36,What is a webhook and when do I use one?,"A webhook routes incoming events across multiple backends and keeps a health check on each one, so failed hosts are removed from rotation and users see steady latency even under uneven load.","When people ask about webhook and events, the answer depends on many factors like scale, cost, and team preference, and there is no single right choice without more context about the specific use case here.",A,ann_4
ex_37,What is a webhook and when do I use one?,"A webhook routes incoming events across multiple backends and keeps a health check on each one, so failed hosts are removed from rotation and users see steady latency even under uneven load.","When people ask about webhook and events, the answer depends on many factors like scale, cost, and team preference, and there is no single right choice without more context about the specific use case here.",A,ann_2
ex_38,What is a webhook and when do I use one?,"A webhook routes incoming events across multiple backends and keeps a health check on each one, so failed hosts are removed from rotation and users see steady latency even under uneven load.","A webhook is a special kind of events database that stores its state on a single machine and never talks to other systems, which is why it is used in place of caching and message-passing infrastructure.",A,ann_2
ex_39,How does horizontal scaling differ from vertical scaling?,"A horizontal scaling is a special kind of vertical scaling database that stores its state on a single machine and never talks to other systems, which is why it is used in place of caching and message-passing infrastructure.","A horizontal scaling routes incoming vertical scaling across multiple backends and keeps a health check on each one, so failed hosts are removed from rotation and users see steady latency even under uneven load.",B,ann_1
ex_40,How does horizontal scaling differ from vertical scaling?,"A horizontal scaling is a special kind of vertical scaling database that stores its state on a single machine and never talks to other systems, which is why it is used in place of caching and message-passing infrastructure.","A horizontal scaling routes incoming vertical scaling across multiple backends and keeps a health check on each one, so failed hosts are removed from rotation and users see steady latency even under uneven load.",B,ann_3
ex_41,How does horizontal scaling differ from vertical scaling?,"A horizontal scaling is a special kind of vertical scaling database that stores its state on a single machine and never talks to other systems, which is why it is used in place of caching and message-passing infrastructure.","A horizontal scaling routes incoming vertical scaling across multiple backends and keeps a health check on each one, so failed hosts are removed from rotation and users see steady latency even under uneven load.",B,ann_1
ex_42,Explain when to use a message queue.,"A message queue is a special kind of producers database that stores its state on a single machine and never talks to other systems, which is why it is used in place of caching and message-passing infrastructure.","A message queue routes incoming producers across multiple backends and keeps a health check on each one, so failed hosts are removed from rotation and users see steady latency even under uneven load.",B,ann_4
ex_43,Explain when to use a message queue.,"A message queue routes incoming producers across multiple backends and keeps a health check on each one, so failed hosts are removed from rotation and users see steady latency even under uneven load.","When people ask about message queue and producers, the answer depends on many factors like scale, cost, and team preference, and there is no single right choice without more context about the specific use case here.",A,ann_3
ex_44,Explain when to use a message queue.,"A message queue routes incoming producers across multiple backends and keeps a health check on each one, so failed hosts are removed from rotation and users see steady latency even under uneven load.","A message queue is a special kind of producers database that stores its state on a single machine and never talks to other systems, which is why it is used in place of caching and message-passing infrastructure.",A,ann_2
ex_45,What is DNS and how does resolution work?,"When people ask about DNS and records, the answer depends on many factors like scale, cost, and team preference, and there is no single right choice without more context about the specific use case here.","A DNS routes incoming records across multiple backends and keeps a health check on each one, so failed hosts are removed from rotation and users see steady latency even under uneven load.",B,ann_1
ex_46,What is DNS and how does resolution work?,"When people ask about DNS and records, the answer depends on many factors like scale, cost, and team preference, and there is no single right choice without more context about the specific use case here.","A DNS routes incoming records across multiple backends and keeps a health check on each one, so failed hosts are removed from rotation and users see steady latency even under uneven load.",B,ann_1
ex_47,What is DNS and how does resolution work?,"When people ask about DNS and records, the answer depends on many factors like scale, cost, and team preference, and there is no single right choice without more context about the specific use case here.","A DNS routes incoming records across multiple backends and keeps a health check on each one, so failed hosts are removed from rotation and users see steady latency even under uneven load.",B,ann_2
ex_48,Describe idempotency in HTTP APIs.,"A idempotency routes incoming requests across multiple backends and keeps a health check on each one, so failed hosts are removed from rotation and users see steady latency even under uneven load.","When people ask about idempotency and requests, the answer depends on many factors like scale, cost, and team preference, and there is no single right choice without more context about the specific use case here.",A,ann_3
ex_49,Describe idempotency in HTTP APIs.,"A idempotency is a special kind of requests database that stores its state on a single machine and never talks to other systems, which is why it is used in place of caching and message-passing infrastructure.","A idempotency routes incoming requests across multiple backends and keeps a health check on each one, so failed hosts are removed from rotation and users see steady latency even under uneven load.",B,ann_2
ex_50,Describe idempotency in HTTP APIs.,"A idempotency is a special kind of requests database that stores its state on a single machine and never talks to other systems, which is why it is used in place of caching and message-passing infrastructure.","A idempotency routes incoming requests across multiple backends and keeps a health check on each one, so failed hosts are removed from rotation and users see steady latency even under uneven load.",B,ann_2
ex_51,Explain what a load balancer does.,"When people ask about load balancer and traffic, the answer depends on many factors like scale, cost, and team preference, and there is no single right choice without more context about the specific use case here.","A load balancer routes incoming traffic across multiple backends and keeps a health check on each one, so failed hosts are removed from rotation and users see steady latency even under uneven load.",A,ann_x
ex_52,Explain what a load balancer does.,"A load balancer routes incoming traffic across multiple backends and keeps a health check on each one, so failed hosts are removed from rotation and users see steady latency even under uneven load.","When people ask about load balancer and traffic, the answer depends on many factors like scale, cost, and team preference, and there is no single right choice without more context about the specific use case here.",A,ann_1
